id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
0,2023-05-11,null,GO,null
1,2023-05-11,null,PR,Aquela pizza perfeita! :-D
2,2023-05-11,null,SP,Muito obrigado!!
3,2023-05-11,null,SP,null
4,2023-05-11,null,RS,Capricha no peperoni
5,2023-05-11,null,SP,null
6,2023-05-11,null,CE,Espero que não dropem minha pizza ^^
7,2023-05-11,null,SP,Forno a lenha por favor.
8,2023-05-11,null,GO,null
9,2023-05-11,TRUE,RJ,null
10,2023-05-11,TRUE,GO,Amo vocês quero dividir a pizza com vocês ♥️
11,2023-05-11,TRUE,MG,Certeza que vai ser um evento sensacional como todos os que participei desde quando conheci a LinuxTips. #Vai!!!
12,2023-05-11,FALSE,SP,Show
13,2023-05-11,FALSE,RS,Vocês são sensacionais <3
14,2023-05-11,TRUE,SP,Espero que esta pizza esteja tão boa quanto as outras que vocês servem para comunidade
15,2023-05-11,FALSE,SP,Capricha!
16,2023-05-11,FALSE,SP,#VAIIII <3
17,2023-05-11,FALSE,SP,Quero um evento de pizzas mesmo hahaha ia ser mto mara
18,2023-05-11,TRUE,SC,null
19,2023-05-11,TRUE,BA,Aguardando muito esse treinamento. O Téo tem uma excelente didática e o Jeferson como sempre proporcionando conteúdo para os famintos por conhecimento rs.
20,2023-05-11,TRUE,SP,Brilhem e #VAAAAIIIIIII vocês são fodas
21,2023-05-11,FALSE,AL,Capricha no peperoni
22,2023-05-11,TRUE,SP,capricha no queijo :)
23,2023-05-11,TRUE,PR,null
24,2023-05-11,FALSE,PR,null
25,2023-05-11,TRUE,RJ,null
26,2023-05-11,FALSE,RJ,Gostosa demais!!!
27,2023-05-11,TRUE,BA,Cuidado com o ponto do camarão.
28,2023-05-11,FALSE,MG,TOP
29,2023-05-12,FALSE,SP,Estou com uma festa em casa e o pessoal está cheio de fome. Preciso o mais rápido que possível a pizza é bem recheada. Rápido rápido eles estão aguardando ansiosos!
30,2023-05-12,TRUE,SP,null
31,2023-05-12,FALSE,SC,Poderia ter borda de chocolate! Hahaha
32,2023-05-12,TRUE,RJ,null
33,2023-05-12,FALSE,MG,null
34,2023-05-12,TRUE,DF,null
35,2023-05-12,TRUE,DF,Vocês são FOOOODAS!
36,2023-05-12,FALSE,PB,vaiiii!
37,2023-05-12,TRUE,RS,null
38,2023-05-12,FALSE,BA,Quero saber qual é a forma definitiva da pronúncia de SQL! Abraço!
39,2023-05-12,FALSE,DF,João 3.16
40,2023-05-12,TRUE,PR,null
41,2023-05-12,FALSE,DF,Vocês são demais!
42,2023-05-12,FALSE,SP,null
43,2023-05-12,TRUE,SP,Vocês são massa demais inspiração!
44,2023-05-12,TRUE,SC,null
45,2023-05-12,TRUE,PR,Tu vai acabar em Pizza !!!
46,2023-05-12,TRUE,SP,Capricha no queijo!
47,2023-05-12,FALSE,SP,Capricha no bacon
48,2023-05-12,TRUE,MS,Eu moro em Lisboa
49,2023-05-12,TRUE,PI,Muito bacana essa interação!!! Sucesso!!
50,2023-05-12,TRUE,SP,null
51,2023-05-12,TRUE,GO,Muito queijo por favor
52,2023-05-12,TRUE,SP,Sucesso!
53,2023-05-12,TRUE,SP,Sem cebola rsrsrs
54,2023-05-12,FALSE,SP,null
55,2023-05-12,FALSE,SP,Voces sao fera tamo junto!
56,2023-05-12,TRUE,SC,Entrega na portaria por favor
57,2023-05-12,TRUE,RS,Os cursos mais fodas estão aqui na LinuxTips!
58,2023-05-12,FALSE,SP,null
59,2023-05-12,TRUE,RS,Vaiiiiii
60,2023-05-12,FALSE,ES,VAIIIII
61,2023-05-12,FALSE,RJ,null
62,2023-05-12,TRUE,SC,"Parabéns pela dinâmica deixa ainda mais divertida a tal ""arte de aprender"". Show!!"
63,2023-05-12,FALSE,SP,Obrigado
64,2023-05-12,FALSE,PE,null
65,2023-05-12,FALSE,MT,null
66,2023-05-12,FALSE,SP,Pizza bem passada
67,2023-05-12,FALSE,SP,null
68,2023-05-12,TRUE,SP,null
69,2023-05-12,FALSE,PE,null
70,2023-05-12,TRUE,SP,Aí sim trouxe o melhor cara de dados agora só falta a parceria com a Databricks hahaha
71,2023-05-13,TRUE,SP,Vocês são froids
72,2023-05-13,FALSE,SP,massa no fogo!
73,2023-05-13,TRUE,RJ,Quando voces entregam a pizza? (haha)
74,2023-05-13,FALSE,RN,Boa pra cima!
75,2023-05-13,FALSE,SP,null
76,2023-05-13,FALSE,MG,null
77,2023-05-13,FALSE,MG,Agradeço pela boa vontade em oferecer um curso gratuito
78,2023-05-13,FALSE,ES,Não deixe queimar a pizza
79,2023-05-13,TRUE,RJ,Nada de ficar fazendo malabarismo com a massa hein
80,2023-05-13,FALSE,SP,Sorteia uns cursos pra nós
81,2023-05-13,TRUE,CE,null
82,2023-05-13,FALSE,SP,null
